org,repo,github_repo_url,last_committed,days_since_commit,stars,language,commits_last_30d,merges_last_30d,repo_health_score
jpmorganchase,fusion-3.7,https://github.com/jpmorganchase/fusion-3.7 ,2025-08-28,0,3,Python,4,1,2.5
jpmorganchase,fusion-3.7,https://github.com/jpmorganchase/fusion-3.7 ,2025-08-28,0,3,Python,4,1,2.5
jpmorganchase,fusion-3.7,https://github.com/jpmorganchase/fusion-3.7 ,2025-08-28,0,3,Python,4,1,2.5
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic ,2025-08-28,0,24,TypeScript,5,0,2.5
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic ,2025-08-28,0,24,TypeScript,5,0,2.5
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic ,2025-08-28,0,24,TypeScript,5,0,2.5
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic ,2025-08-28,0,24,TypeScript,5,0,2.5
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic ,2025-08-28,0,24,TypeScript,5,0,2.5
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic ,2025-08-28,0,24,TypeScript,5,0,2.5
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic ,2025-08-28,0,24,TypeScript,5,0,2.5
ocadotechnology,codeforlife-portal-frontend,https://github.com/ocadotechnology/codeforlife-portal-frontend ,2025-08-22,6,0,TypeScript,5,0,2.5
ocadotechnology,codeforlife-rapid-router-frontend,https://github.com/ocadotechnology/codeforlife-rapid-router-frontend ,2025-08-22,6,0,TypeScript,5,0,2.5
raspberrypi,rpi-systemd-config,https://github.com/raspberrypi/rpi-systemd-config ,2025-07-31,28,0,Python,5,0,2.5
man-group,PyBloqs,https://github.com/man-group/PyBloqs ,2025-08-27,1,177,Python,3,1,2.0
ocadotechnology,codeforlife-template-frontend,https://github.com/ocadotechnology/codeforlife-template-frontend ,2025-08-22,6,0,TypeScript,4,0,2.0
raspberrypi,pico-sdk-tools,https://github.com/raspberrypi/pico-sdk-tools ,2025-08-08,20,45,Shell,4,0,2.0
deliveroo,platform-code-test,https://github.com/deliveroo/platform-code-test ,2025-08-28,0,0,HCL,2,1,1.5
jpmorganchase,nbcelltests,https://github.com/jpmorganchase/nbcelltests ,2025-08-18,10,95,Python,2,1,1.5
jpmorganchase,nbcelltests,https://github.com/jpmorganchase/nbcelltests ,2025-08-18,10,95,Python,2,1,1.5
jpmorganchase,nbcelltests,https://github.com/jpmorganchase/nbcelltests ,2025-08-18,10,95,Python,2,1,1.5
jpmorganchase,nbcelltests,https://github.com/jpmorganchase/nbcelltests ,2025-08-18,10,95,Python,2,1,1.5
jpmorganchase,nbcelltests,https://github.com/jpmorganchase/nbcelltests ,2025-08-18,10,95,Python,2,1,1.5
jpmorganchase,nbcelltests,https://github.com/jpmorganchase/nbcelltests ,2025-08-18,10,95,Python,2,1,1.5
jpmorganchase,nbcelltests,https://github.com/jpmorganchase/nbcelltests ,2025-08-18,10,95,Python,2,1,1.5
nccgroup,SteppingStones,https://github.com/nccgroup/SteppingStones ,2025-08-06,22,220,Python,2,1,1.5
ocadotechnology,codeforlife-sso-backend,https://github.com/ocadotechnology/codeforlife-sso-backend ,2025-08-15,13,0,Python,3,0,1.5
raspberrypi,rpi-analyse-boot,https://github.com/raspberrypi/rpi-analyse-boot ,2025-07-30,29,4,Shell,3,0,1.5
raspberrypi,rpi-blockutils,https://github.com/raspberrypi/rpi-blockutils ,2025-07-30,29,3,C,3,0,1.5
raspberrypi,rpi-splash-screen-support,https://github.com/raspberrypi/rpi-splash-screen-support ,2025-08-27,1,0,None,3,0,1.5
deliveroo,merge-pr-to-branch,https://github.com/deliveroo/merge-pr-to-branch ,2025-08-04,24,1,TypeScript,2,0,1.0
man-group,dtale,https://github.com/man-group/dtale ,2025-07-30,29,4974,TypeScript,2,0,1.0
ocadotechnology,cmq,https://github.com/ocadotechnology/cmq ,2025-08-18,10,5,Python,2,0,1.0
ocadotechnology,codeforlife-package-python,https://github.com/ocadotechnology/codeforlife-package-python ,2025-08-15,13,3,Python,2,0,1.0
ocadotechnology,codeforlife-portal-backend,https://github.com/ocadotechnology/codeforlife-portal-backend ,2025-08-15,13,0,Python,2,0,1.0
raspberrypi,picotool,https://github.com/raspberrypi/picotool ,2025-08-22,6,773,C++,2,0,1.0
raspberrypi,rp2350_hacking_challenge_2,https://github.com/raspberrypi/rp2350_hacking_challenge_2 ,2025-08-09,19,48,Assembly,2,0,1.0
raspberrypi,rpi-otp-ec-private-key,https://github.com/raspberrypi/rpi-otp-ec-private-key ,2025-07-30,29,0,Rust,2,0,1.0
raspberrypi,rpicam-apps,https://github.com/raspberrypi/rpicam-apps ,2025-08-26,2,499,C++,2,0,1.0
ocadotechnology,codeforlife-rapid-router-backend,https://github.com/ocadotechnology/codeforlife-rapid-router-backend ,2025-07-30,29,0,Python,1,0,0.5
ocadotechnology,pass4s,https://github.com/ocadotechnology/pass4s ,2025-08-04,24,45,Scala,1,0,0.5
raspberrypi,openocd,https://github.com/raspberrypi/openocd ,2025-08-04,24,184,C,1,0,0.5
raspberrypi,pico-extras,https://github.com/raspberrypi/pico-extras ,2025-08-12,15,552,C,1,0,0.5
KainosSoftwareLtd,ai-enhanced-platform,https://github.com/KainosSoftwareLtd/ai-enhanced-platform ,2025-08-23,5,9,HCL,0,0,0.0
TBCBank,TBC.OpenAPI.SDK.Core,https://github.com/TBCBank/TBC.OpenAPI.SDK.Core ,2025-08-23,5,2,C#,0,0,0.0
TBCBank,TBC.OpenAPI.SDK.DBI,https://github.com/TBCBank/TBC.OpenAPI.SDK.DBI ,2025-08-16,12,0,C#,0,0,0.0
TBCBank,TBC.OpenAPI.SDK.ExchangeRates,https://github.com/TBCBank/TBC.OpenAPI.SDK.ExchangeRates ,2025-08-24,4,10,C#,0,0,0.0
TBCBank,TBC.OpenAPI.SDK.OnlineInstallments,https://github.com/TBCBank/TBC.OpenAPI.SDK.OnlineInstallments ,2025-08-23,5,2,C#,0,0,0.0
TBCBank,TBC.OpenAPI.SDK.OnlineMortgage,https://github.com/TBCBank/TBC.OpenAPI.SDK.OnlineMortgage ,2025-08-24,4,1,C#,0,0,0.0
TBCBank,TBC.OpenBanking.Jws,https://github.com/TBCBank/TBC.OpenBanking.Jws ,2025-08-19,9,17,C#,0,0,0.0
futureplc,twig-stack-extension,https://github.com/futureplc/twig-stack-extension ,2025-08-12,16,1,PHP,0,0,0.0
man-group,notebooker,https://github.com/man-group/notebooker ,2025-08-27,1,882,Python,0,0,0.0
man-group,pytest-plugins,https://github.com/man-group/pytest-plugins ,2025-08-27,1,594,Python,0,0,0.0
raspberrypi,QMK,https://github.com/raspberrypi/QMK ,2025-08-21,7,39,C,0,0,0.0
raspberrypi,armulet,https://github.com/raspberrypi/armulet ,2025-07-29,30,18,C++,0,0,0.0
raspberrypi,libcamera,https://github.com/raspberrypi/libcamera ,2025-08-22,6,362,C++,0,0,0.0
raspberrypi,picamera2,https://github.com/raspberrypi/picamera2 ,2025-08-20,8,1099,Python,0,0,0.0
raspberrypi,pico-bootrom-rp2350,https://github.com/raspberrypi/pico-bootrom-rp2350 ,2025-07-29,30,177,C,0,0,0.0
raspberrypi,pico-examples,https://github.com/raspberrypi/pico-examples ,2025-08-27,1,3448,C,0,0,0.0
raspberrypi,pico-host-sdl,https://github.com/raspberrypi/pico-host-sdl ,2025-07-29,30,33,C,0,0,0.0
raspberrypi,pico-playground,https://github.com/raspberrypi/pico-playground ,2025-07-29,30,515,C,0,0,0.0
raspberrypi,pico-sdk,https://github.com/raspberrypi/pico-sdk ,2025-08-27,0,4402,C,0,0,0.0
raspberrypi,sweet-b,https://github.com/raspberrypi/sweet-b ,2025-07-29,30,4,C,0,0,0.0
