org_name,repo_name,open_issue_count,stars_count,forks_count,last_pushed_date,pull_requests_open_count,about_description,merged_prs_30d
shopify,eng-internship-challenge,311,15,351,2025-08-12,-1,A Technical Challenge for Engineering Internship applicants,0
shopify,eng-intern-assessment-react,272,18,385,2025-07-18,-1,A Starter repo for Shopify React Intern assessments,-1
shopify,eng-intern-assessment-rails,241,12,399,2025-08-04,-1,A Starter repo for Shopify Rails Intern assessments,-1
shopify,eng-intern-assessment-data,168,11,230,2025-08-11,-1,A Starter repo for Shopify Data Eng Intern Assessments,-1
shopify,infra-intern-assessment,115,5,151,2025-08-12,-1,A Starter repo for Shopify Infrastructure Intern assessments,-1
shopify,money,32,343,44,2025-08-11,14,Manage money in Shopify with a class that won't lose pennies during division,1
shopify,statsd-instrument,13,586,100,2025-08-01,7,A StatsD client for Ruby apps. Provides metaprogramming methods to inject StatsD instrumentation into your code.,1
shopify,tophat,1,784,29,2025-08-11,-1,Easily install and test mobile applications with a single click.,5
shopify,shopify-api-php,45,440,189,2025-08-11,-1,,0
shopify,pitchfork,8,795,33,2025-07-28,-1,,-1
shopify,product-taxonomy,65,186,48,2025-08-11,-1,Shopify's standardized product taxonomy.,0
shopify,autotuner,7,569,15,2025-08-11,6,Get suggestions to tune Ruby's garbage collector,-1
shopify,ruby,69,43,14,2025-08-12,-1,The Ruby Programming Language [mirror],0
shopify,shopify_django_app,15,502,167,2025-05-13,4,Get a Shopify app up and running with Django and Python Shopify API,-1
shopify,extensions-templates,23,90,15,2025-07-30,20,,-1
shopify,eng-intern-assessment-react-native,69,5,89,2025-08-07,-1,A Starter repo for Shopify React Native intern assessments,-1
shopify,ruby-style-guide,10,557,51,2025-08-11,-1,Shopify’s Ruby Style Guide,-1
shopify,shadowenv,23,427,20,2025-08-08,-1,reversible directory-local environment variable manipulations,-1
shopify,web-configs,17,481,58,2025-07-29,-1,Common configurations for building web apps at Shopify,-1
shopify,measured,13,376,30,2025-08-12,6,Encapsulate measurements and their units in Ruby and Ruby on Rails.,-1
shopify,skeleton-theme,7,473,222,2025-06-02,3,"A minimal, carefully structured Shopify theme designed to help you quickly get started. Designed with modularity, maintainability, and Shopify's best practices in mind.",-1
shopify,deprecation_toolkit,10,509,35,2025-08-08,-1,⚒Eliminate deprecations from your codebase ⚒,-1
shopify,app_profiler,14,253,12,2025-08-11,8,Collect performance profiles for your Rails application.,0
shopify,better-html,12,456,27,2025-07-15,-1,Better HTML for Rails,-1
shopify,shopify.github.com,4,520,117,2025-05-23,-1,A collection of the open source projects by Shopify,-1
shopify,storefront-api-learning-kit,12,408,84,2025-08-12,-1,,0
shopify,product-reviews-sample-app,16,366,164,2025-07-29,-1,"A sample Shopify application that creates and stores product reviews for a store, written in Node.js",0
shopify,tracky,15,380,29,2025-05-13,-1,The easiest way to do motion tracking! ,-1
shopify,function-examples,30,223,66,2025-07-18,-1,,-1
shopify,hydrogen-demo-store,30,189,86,2025-08-11,-1,"This template contains a full-featured setup of components, queries and tooling to get started with Hydrogen. It is deployed to https://hydrogen.shop",0
shopify,rubygems,16,2,3,2025-06-09,16,Library packaging and distribution for Ruby.,-1
shopify,FunctionalTableData,12,369,28,2025-08-07,-1,Declarative UITableViewDataSource implementation,-1
shopify,limiter,1,423,23,2025-07-14,1,Simple Ruby rate limiting mechanism.,-1
shopify,git-chain,23,237,15,2025-08-11,-1,Tool to rebase multiple Git branches based on the previous one.,-1
shopify,screenshot-glb,32,140,32,2025-07-21,-1,A command line utility for taking screenshots of glTF 2.0 Binary 3D model files,-1
shopify,grpc,40,2,3,2025-08-05,-1,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",0
shopify,shopify-frontend-template-react,26,153,76,2025-08-08,-1,,-1
shopify,ci-queue,17,179,34,2025-08-11,2,Distribute tests over many workers using a queue,-1
shopify,yjit-metrics,14,16,11,2025-08-04,-1,"""Tasks for benchmarking, building and collecting stats for YJIT""",11
shopify,syrup,14,111,9,2025-08-12,5,"A type-safe GraphQL model generator for Kotlin, Swift, and TypeScript.",0
shopify,shop-chat-agent,16,44,35,2025-07-22,8,A reference app for storefront chat agent,-1
shopify,omniauth-shopify-oauth2,17,92,70,2025-08-04,5,Shopify OAuth2 Strategy for OmniAuth 1.0,-1
shopify,opentelemetry-ruby-contrib,38,0,0,2025-05-01,-1,Contrib Packages for the OpenTelemetry Ruby API and SDK implementation.,-1
shopify,function-runner,9,79,14,2025-08-11,8,,-1
shopify,lighthouse-ci-action,21,117,55,2025-08-12,-1,,0
shopify,theme-extension-getting-started,20,117,49,2025-05-13,-1,A theme app extension boilerplate that highlights the basic structure and features that are available to developers who want to integrate their apps with Shopify Online Stores.,0
shopify,active_utils,8,93,84,2025-08-11,6,"Active Utils extracts commonly used modules and classes used by Active Merchant, Active Shipping, and Active Fulfillment",0
shopify,node-themekit,22,112,28,2025-07-21,-1,Theme asset interaction library and management tools written in Node.js,-1
shopify,shopify-function-wasm-api,10,6,0,2025-08-12,10,A WebAssembly programming interface for Shopify Functions,-1
shopify,spoom,6,245,25,2025-08-12,-1,Useful tools for Sorbet enthusiasts,0
shopify,gltf-compressor,0,297,9,2025-08-08,0,The easiest way to compress glTF files!,-1
shopify,ruby_memcheck,2,252,16,2025-08-11,1,Use Valgrind memcheck on your native gem without going crazy,-1
shopify,ruvy,0,307,7,2025-08-01,-1,,-1
shopify,torch-grammar,8,67,5,2025-08-11,7,,-1
shopify,checkout-sheet-kit-react-native,25,56,11,2025-08-12,-1,Shopify's Checkout Sheet Kit for React Native - simplifying the process of adding checkout to your native apps.,-1
shopify,pyactiveresource,20,102,46,2025-08-12,-1,,-1
shopify,i18next-shopify,27,30,5,2025-08-12,-1,,-1
shopify,rubocop-sorbet,11,186,31,2025-06-25,-1,A collection of RuboCop rules for Sorbet,-1
shopify,discount-app-components,21,85,27,2025-07-22,-1,A library of discounts-focused React components to help in building Shopify apps.,-1
shopify,twine,17,117,9,2025-05-29,-1,Twine is a minimalistic two-way binding system,-1
shopify,oktakit,21,72,64,2025-08-11,-1,Ruby toolkit for working with the Okta API,-1
shopify,condense-number,9,43,6,2025-08-11,6,Locale-aware number condensing,-1
shopify,rbi-central,21,62,45,2025-08-05,-1,,-1
shopify,lhm,7,199,27,2025-07-08,-1,Online MySQL schema migrations,-1
shopify,graphql-metrics,3,172,11,2025-08-04,2,"Extract as much much detail as you want from GraphQL queries, served up from your Ruby app and the graphql gem. ",-1
shopify,argo-cd-1,8,1,2,2025-08-06,8,Declarative Continuous Deployment for Kubernetes,-1
shopify,homebrew-shopify,21,49,28,2025-08-06,-1,,-1
shopify,protoboeuf,19,46,8,2025-08-04,-1,A pure Ruby implementation of Protobuf designed to optimize well with JIT compilers.,0
shopify,asset_cloud,6,27,8,2025-08-04,2,An abstraction layer around arbitrary and diverse asset stores,4
shopify,goose,16,85,14,2025-08-11,-1,Curated collection of Go packages that integrate well together,-1
shopify,fixture_factory,4,85,5,2025-08-12,4,,0
shopify,worldwide,16,83,7,2025-08-12,-1,A gem to assist with the internationalization and localization of ruby code,-1
shopify,seafoam,8,137,23,2025-08-04,-1,A tool for working with compiler graphs dumped by the GraalVM compiler,0
shopify,memcached,7,3,6,2025-07-25,7,A Ruby interface to the libmemcached C client,-1
shopify,example-app--qr-code--remix,6,75,55,2025-07-22,3,,-1
shopify,shopify-app-template-ruby,7,141,49,2025-08-05,-1,,-1
shopify,vscode-shopify-ruby,2,190,16,2025-08-11,-1,An opinionated and auto-configured set of extensions for Ruby development,-1
shopify,preact-testing,11,17,4,2025-08-11,2,,0
shopify,customer-account-tutorials,20,7,2,2025-07-23,-1,Coding tutorials related to customer accounts,-1
shopify,shopify-theme-inspector,2,166,22,2025-05-13,-1,A Chrome DevTools plugin that visualizes Shopify Liquid render profiling data so you can triage long-running code and reduce server response times!,0
shopify,toml-patch,6,3,1,2025-08-11,6,"A JS library using WebAssembly to patch TOML files, preserving formatting",-1
shopify,zincsearch-1,6,1,1,2025-03-12,6,"ZincSearch . A lightweight alternative to elasticsearch that requires minimal resources, written in Go.",-1
shopify,kubernetes-sample-apps,6,1,1,2025-03-21,6,Example DigitalOcean Kubernetes workload with service exposed through a DO load-balancer.,-1
shopify,smart_todo,4,160,10,2025-07-17,-1,Enhance TODO comment in your Ruby code,-1
shopify,response_bank,2,136,18,2025-06-05,0,Simple response caching for Ruby applications,0
shopify,yjit-bench,8,96,28,2025-08-11,-1,Set of benchmarks for the YJIT CRuby JIT compiler and other Ruby implementations.,0
shopify,nixpkgs,19,4,5,2025-06-25,-1,Nix Packages collection,-1
shopify,checkout-sheet-kit-swift,14,52,23,2025-08-12,-1,Shopify’s Checkout Sheet Kit makes it simple to perform a checkout inside your Swift native app.,-1
shopify,cli-kit,3,155,16,2025-08-04,-1,Framework/Engine for command line interfaces,-1
shopify,horizon,1,173,32,2025-08-06,-1,Shopify's Horizon theme source code,-1
shopify,liquid-tm-grammar,6,18,7,2025-05-22,4,The official syntax highlighting grammar for Shopify Liquid,-1
shopify,argo-admin-template,5,27,15,2025-08-11,3,Template repository for App Extensions build with Shopify/shopify-app-cli,0
shopify,custom-property-analyzer,5,3,3,2025-08-11,4,,0
shopify,graphql_java_gen,9,82,40,2025-05-13,-1,GraphQL java client code generator,-1
shopify,zjit,7,2,0,2025-05-14,4,"Next-gen Ruby JIT, now in upstream CRuby",-1
shopify,zincsearch,5,1,2,2025-03-12,5,"ZincSearch . A lightweight alternative to elasticsearch that requires minimal resources, written in Go.",-1
shopify,liquid-spec,17,0,0,2025-08-12,-1,liquid-spec is a test suite for the Liquid language.,-1
shopify,yugabyte-db,5,0,2,2025-07-14,5,YugabyteDB - the cloud native distributed SQL database for mission-critical applications.,-1
shopify,reference-theme,0,149,58,2025-04-30,-1,A developer reference theme for Shopify online store themes,0
shopify,handy,2,147,13,2025-05-13,-1,The easiest way to mocap your hands!,-1
shopify,hydrogen-redirect-theme,5,56,28,2025-08-04,2,,-1
shopify,schmooze,9,75,14,2025-08-11,-1,Schmooze lets Ruby and Node.js work together intimately.,-1
shopify,app-cli-node-generator-helper,14,4,5,2025-07-21,-1,,0
shopify,salesforce_chunker,6,3,4,2025-08-04,4,,-1
shopify,activerecord-rescue_from_duplicate,7,91,9,2025-08-04,-1,"Ruby gem to rescue from MySQL, PostgreSQL and Sqlite duplicate errors",-1
shopify,gvltools,3,131,10,2025-05-20,-1,Set of GVL instrumentation tools,-1
